zip_code,owner_occupied,gross_area,total_value,bed_rms,full_bth,half_bth,kitchens,total_num_rooms,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_type_rank,overall_condition_rank,heat_type_rank,land_use_description_rank,zipcode_4tier_rank,adjusted_tax
02128,0,3850.0,963600.0,5.0,3.0,0.0,3.0,11.0,0.0,0.0,3.0,125.0,7.0,0,3,6,4,3,11158.49
02128,1,3468.0,874800.0,3.0,3.0,0.0,4.0,11.0,0.0,0.0,3.0,125.0,125.0,0,4,6,4,3,6145.97
02128,0,4614.0,871300.0,4.0,3.0,0.0,3.0,12.0,0.0,3.0,3.0,125.0,125.0,0,3,5,4,3,10089.65
02128,0,3968.0,869400.0,3.0,3.0,0.0,3.0,12.0,0.0,2.0,3.0,125.0,5.0,0,3,6,4,3,10067.65
02128,1,1118.0,627200.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,4.0,4.0,1,4,5,1,3,3278.76
02128,1,1304.0,693800.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,4.0,4.0,1,4,5,1,3,4049.99
02128,1,1304.0,737400.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,3.0,4.0,4.0,1,4,5,1,3,4554.88
02128,1,1357.0,817300.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,4.0,4.0,4.0,1,4,5,1,3,5480.12
02128,0,3781.0,744600.0,5.0,2.0,0.0,2.0,9.0,0.0,0.0,2.0,125.0,125.0,0,3,6,3,3,8622.47
02128,0,4304.0,874300.0,4.0,3.0,0.0,3.0,10.0,0.0,0.0,3.0,126.0,31.0,0,3,6,4,3,10124.39
02128,1,3910.0,814800.0,5.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,5451.169999999999
02128,1,4526.0,1077000.0,7.0,3.0,1.0,3.0,14.0,0.0,0.0,3.0,125.0,24.0,0,3,6,4,3,8487.45
02128,0,1502.0,489400.0,6.0,2.0,0.0,1.0,9.0,0.0,0.0,2.0,125.0,4.0,0,4,3,1,3,5667.25
02128,1,1436.0,654800.0,3.0,2.0,0.0,1.0,8.0,0.0,0.0,2.0,125.0,4.0,0,4,3,1,3,3598.37
02128,0,2948.0,767400.0,3.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,125.0,14.0,0,3,6,4,3,8886.49
02128,0,3056.0,952400.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,16.0,0,4,5,4,3,11028.79
02128,1,3214.0,814700.0,5.0,3.0,0.0,3.0,10.0,0.0,0.0,3.0,125.0,125.0,0,3,6,3,3,5450.009999999999
02128,1,2476.0,794300.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,2.0,125.0,8.0,1,4,5,2,3,5213.78
02128,1,2730.0,847100.0,4.0,3.0,0.0,1.0,6.0,0.0,0.0,2.0,125.0,4.0,1,4,5,2,3,5825.2
02128,0,2964.0,707500.0,5.0,3.0,0.0,3.0,11.0,0.0,0.0,3.0,125.0,56.0,0,3,6,4,3,8192.85
02128,0,2972.0,753000.0,3.0,3.0,0.0,3.0,11.0,0.0,0.0,3.0,125.0,30.0,0,3,6,4,3,8719.74
02128,0,5552.0,1246200.0,9.0,3.0,0.0,3.0,18.0,0.0,0.0,3.0,105.0,105.0,0,4,6,4,3,14431.0
02128,0,5372.0,1231200.0,11.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,115.0,10.0,0,3,6,4,3,14257.3
02128,1,2779.0,723900.0,4.0,2.0,0.0,2.0,8.0,0.0,0.0,2.0,115.0,115.0,0,3,6,3,3,4398.55
02128,0,2779.0,549600.0,4.0,2.0,0.0,2.0,10.0,0.0,0.0,2.0,115.0,115.0,0,3,6,3,3,6364.37
02128,1,3156.0,626300.0,3.0,2.0,0.0,2.0,9.0,0.0,0.0,2.0,105.0,105.0,0,3,2,3,3,3268.34
02128,0,3661.0,1018700.0,6.0,4.0,0.0,3.0,16.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,3,11796.55
02128,0,4010.0,939300.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,3,10877.09
02128,1,4636.0,1041500.0,10.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,115.0,115.0,1,3,3,4,3,8076.36
02128,1,4235.0,1103900.0,6.0,3.0,0.0,3.0,17.0,0.0,0.0,3.0,115.0,23.0,0,4,6,4,3,8798.95
02128,0,4238.0,869700.0,5.0,2.0,0.0,2.0,10.0,0.0,2.0,2.0,115.0,115.0,0,3,6,3,3,10071.13
02128,1,5241.0,1072400.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,115.0,23.0,0,3,6,4,3,8434.18
02128,1,4934.0,984000.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,3,7410.509999999999
02128,1,4543.0,800800.0,6.0,2.0,0.0,3.0,12.0,0.0,0.0,2.0,115.0,115.0,0,3,6,3,3,5289.05
02128,0,4543.0,809700.0,6.0,2.0,1.0,2.0,12.0,0.0,0.0,2.0,115.0,115.0,0,3,5,3,3,9376.33
02128,1,4128.0,958500.0,9.0,3.0,0.0,2.0,17.0,0.0,0.0,2.0,115.0,33.0,0,3,6,3,3,7115.22
02128,0,6010.0,1113600.0,9.0,3.0,0.0,3.0,20.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,3,12895.49
02128,1,4821.0,707400.0,3.0,2.0,1.0,2.0,11.0,0.0,0.0,2.5,115.0,115.0,0,3,6,3,3,4207.48
02128,1,4540.0,1091900.0,11.0,4.0,0.0,3.0,18.0,0.0,0.0,3.0,115.0,115.0,0,3,6,4,3,8659.990000000002
02128,0,4831.0,975800.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,115.0,8.0,0,3,6,4,3,11299.76
02128,1,4272.0,1053800.0,9.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,115.0,115.0,0,3,5,4,3,8218.79
02128,0,2994.0,886200.0,5.0,3.0,0.0,2.0,12.0,0.0,4.0,2.0,120.0,32.0,0,3,6,3,3,10262.2
02128,0,5289.0,902100.0,3.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,125.0,21.0,0,3,6,4,3,10446.32
02128,0,4238.0,909800.0,5.0,4.0,0.0,3.0,13.0,0.0,0.0,3.0,120.0,120.0,0,3,6,4,3,10535.48
02128,1,2045.0,835100.0,4.0,2.0,0.0,1.0,10.0,0.0,2.0,2.0,125.0,3.0,1,4,5,1,3,5686.240000000001
02128,0,1200.0,687800.0,3.0,2.0,0.0,1.0,6.0,0.0,1.0,2.0,125.0,3.0,1,4,5,1,3,7964.72
02128,1,1235.0,535500.0,3.0,1.0,0.0,1.0,6.0,0.0,1.0,3.0,125.0,3.0,0,4,5,1,3,2216.88
